nf,nx,ny
13,848.7274167987322,209.0729001584786
14,847.3620689655172,212.8425287356322
15,846.1271571298819,216.0063578564941
16,844.8902985074627,218.2813432835821
17,843.5771175726928,220.36915297092287
18,842.701230228471,221.17809021675453
19,842.681737061273,220.63355145746579
20,842.8329268292683,220.46768292682927
21,842.866175567833,220.87292817679557
22,843.0081453634085,221.23182957393485
23,842.8754669987546,221.11768368617683
24,842.5517654099342,221.23459006582885
25,842.5232974910394,221.48805256869773
26,842.7119164619164,221.48832923832924
27,842.6055825242719,221.4902912621359
28,842.4061393152302,221.46103896103895
29,842.365925058548,221.53922716627633
30,842.3625218914185,221.58435493286632
31,842.2495706926159,221.57355466514025
32,842.0336511497476,221.52271452607965
33,841.9694104560623,221.36985539488322
34,841.981163434903,221.28310249307478
35,841.9541689674213,221.32302595251244
36,842.0372843628269,221.1981079577073
37,842.1346801346801,221.06004489337823
38,842.1893424036281,221.25056689342404
39,842.2660183066362,221.35068649885582
40,842.1620396600566,221.44645892351275
41,841.950747094632,221.71610403984505
42,841.7153598281418,221.6186895810956
43,841.4515453116815,221.63017286537453
44,841.3686375321337,221.82056555269924
45,841.4394323365433,222.73086670045615
46,839.5532435740514,228.39657282741737
47,837.0012957563978,234.29672821509556
48,834.9176595181361,242.6920836642838
49,831.1459566074951,256.23909708525093
50,823.0567375886525,272.8695035460993
51,777.8309665597801,322.5973431058177
52,747.3622152746761,345.65163019205005
53,710.7456822107081,367.0483592400691
54,669.9063811922754,387.34676742233415
55,624.2765432098765,405.08765432098767
56,574.0409598676044,417.51551510136534
57,521.85473943373,426.36684448091916
58,468.65147783251234,429.2233169129721
59,415.9164944191815,426.10458867300537
60,364.4367402071139,419.05898244034216
61,314.25819488100586,405.60933991917375
62,270.901376146789,389.41743119266056
63,230.32897196261683,370.84532710280376
64,194.7396449704142,349.71252465483235
65,164.3613738178198,328.90741662518667
66,139.25435356200526,308.81688654353565
67,118.83501862692921,290.79403938265034
68,103.50332594235033,274.9789356984479
69,91.85426267281106,262.096198156682
70,83.65776699029126,253.47208737864077
71,79.59795134443021,248.59026888604353
72,79.45229007633588,248.3027989821883
73,82.73445986722993,252.89378394689197
74,90.19505340078696,261.63406408094437
75,102.0144,273.6981333333333
76,117.9539641943734,290.10997442455243
77,139.61153846153846,308.95625
78,166.95116279069768,329.8502325581395
79,200.12316585148955,351.91329479768785
80,239.63826998689385,373.06028833551767
81,283.7417742607247,391.6426488962932
82,332.2038190120382,407.38397675383976
83,385.0295645225729,418.57131442269275
84,438.69535898452995,425.10948036493454
85,492.9477254588986,425.8244213886672
86,546.0914927768861,420.93579454253614
87,596.9668150546338,411.2051800890328
88,644.0348403152219,397.20696806304437
89,685.3386678200692,380.5129757785467
90,722.3283783783784,361.8265765765766
91,753.7978271138403,342.0193670288144
92,780.1580030880083,322.8538342768914
93,801.1498422712933,304.8596214511041
94,817.5102949360045,288.90595436839175
95,829.5048991354466,275.96887608069164
96,835.4145356662181,266.3223418573351
97,838.3019607843137,260.3905882352941
98,838.7809446254072,258.8241042345277
99,837.1992592592593,261.3066666666667
100,833.0729559748428,268.0069182389937
101,823.7626822157434,278.65772594752184
102,809.7019867549669,292.5756070640177
103,791.4997367035281,309.436018957346
104,768.6375062845651,328.236802413273
105,740.397001934236,348.6411992263056
106,707.1022201665124,368.96716003700277
107,669.1687019448214,387.69968340117595
108,626.5540301151461,404.0261293179805
109,579.6349137931035,417.2387931034483
110,529.8061485909479,425.8663535439795
111,478.27265065318164,429.30425621576063
112,426.87953865869287,427.5557454079453
113,376.080310880829,420.48445595854923
114,326.8255867464335,409.01702715140357
115,281.86128739800546,393.5512239347235
116,240.8618913857678,375.46395131086143
117,203.99237732253454,355.36255359695093
118,172.51101532567048,334.72078544061304
119,145.64650470996528,314.417947446703
120,123.76688344172086,295.5137568784392
121,106.82484407484408,279.1928274428274
122,93.98966267682263,266.26605005440695
123,85.40523619806488,256.59647125782584
124,80.68326334733054,251.02099580083984
125,79.83980872683802,250.0789001793186
126,83.08573040045121,253.4399323181049
127,90.14630225080386,261.2004287245445
128,101.81309823677582,273.0659949622166
129,118.43056894889104,288.77338476374155
130,140.0825174825175,307.02610722610723
131,167.20529801324503,327.5271523178808
132,199.86852416195038,348.72311710927295
133,238.77636054421768,370.2287414965986
134,282.18676716917923,389.13484087102177
135,329.5696465696466,405.5002079002079
136,380.87565603552684,417.0532902704885
137,433.0240867121638,424.4391810517864
138,485.7803873094355,426.39472599917593
139,537.2842767295598,423.093501048218
140,586.2152389151959,414.76108480413257
141,631.1290748898679,402.5202643171806
142,671.551724137931,387.43954022988504
143,706.8982489351632,370.220539517274
144,737.2132653061225,352.3311224489796
145,762.49098621421,334.08854718981974
146,783.2054951345164,317.29421866056094
147,798.8118811881188,302.2824694234129
148,810.4638036809816,290.0858895705521
149,818.3231469440832,280.8374512353706
150,822.5777626193725,274.8949522510232
151,823.5769230769231,273.248951048951
152,821.4637180373186,275.18382861091914
153,815.5989549314173,280.9686479425212
154,806.2506157635468,290.26416256157637
155,793.0,303.0892018779343
156,775.9568143578239,318.1228266965788
157,754.749065670048,335.5093432995195
158,728.6578947368421,354.0546955624355
159,697.4060187469166,372.64134188455847
160,661.5900329102021,390.32487070992005
161,621.3443223443223,405.6231684981685
162,576.8269754768393,417.97229791099
163,529.4486021505377,426.06279569892473
164,479.8447311827957,429.2193548387097
165,429.80841121495325,427.6911639762107
166,380.95430809399477,420.91383812010446
167,332.9423247559894,409.79769299023957
168,288.30604982206404,394.41503558718864
169,247.66119733924612,376.7729490022173
170,210.63591135232926,356.9538670284939
171,178.4617498854787,336.56802565277144
172,151.40562060889928,316.34613583138173
173,129.0081417624521,297.5105363984674
174,111.70966135458167,281.25249003984067
175,98.38005115089514,267.8700767263427
176,89.46770721205597,258.17438105489776
177,84.48067226890757,252.51036414565826
178,83.64395229982964,251.221465076661
179,86.97179203539822,254.44026548672565
180,94.55346232179227,261.87932790224033
181,106.47715247715247,273.4949494949495
182,123.50923361034164,288.90258541089565
183,145.29819144243493,307.0339655932951
184,172.87942955920485,327.48962834917893
185,205.815800591466,348.5686523024926
186,244.8753760206274,369.91104426299955
187,287.50605326876513,388.3781275221953
188,333.967594515995,404.1952638138762
189,383.89370236662654,416.41556357801846
190,434.0366935483871,423.6241935483871
191,484.73172723560634,426.0016333197223
192,534.0200668896321,423.4297658862876
193,580.3753779697624,416.27257019438446
194,623.0732142857142,405.1142857142857
195,661.4890849976777,391.05480724570367
196,694.8711264141663,375.4879488440728
197,723.5680412371134,358.7237113402062
198,747.0600109110748,342.28587015821057
199,766.4350057012542,326.4481185860889
200,781.2052216150577,312.9149969641773
201,792.3896353166987,301.51183621241205
202,799.4973082099597,292.93539703903093
203,803.4445229681979,287.66289752650175
204,804.1157142857143,286.0078571428571
205,801.6121726822364,287.86624203821657
206,795.8479138627187,293.2146702557201
207,786.8961121733588,302.0439770554493
208,774.247723132969,313.56102003642985
209,757.7763833428409,327.86765544780377
210,737.1790633608815,343.9933884297521
211,712.1740489838458,361.1537258989057
212,682.8014112903226,378.36290322580646
213,648.6063218390805,394.213122605364
214,610.1545961002786,408.3602599814299
215,567.633363471971,419.53164556962025
216,522.413139329806,426.537037037037
217,475.0906395595087,429.1304531977975
218,427.39388794567066,426.97410865874366
219,380.18747300215983,419.8518358531318
220,333.7476510067114,408.6586129753915
221,289.8910034602076,393.314446366782
222,250.14235345967387,375.94711326575583
223,213.81349911190054,356.20204262877445
224,182.2161797752809,336.00359550561797
225,155.45822102425876,315.7403414195867
226,133.48959318826869,297.5804162724693
227,116.20712909441234,281.29576107899805
228,103.08739326971371,268.2184831742843
229,94.50753246753247,258.852987012987
230,89.83763027975864,253.37685134393857
231,89.49184782608695,252.35978260869564
232,93.46970481615743,256.16312791299845
233,101.56926089084679,263.94371023005385
234,114.533894343151,275.8546049555867
235,132.21162377994676,291.45696539485357
236,155.2184549356223,309.7914163090129
237,183.44682639764608,330.30853299705757
238,216.72185970636215,350.8907014681892
239,255.30560064935065,371.48498376623377
240,297.77991967871486,389.8453815261044
241,344.19585534335636,405.5253961804145
242,392.17253803042433,417.03362690152125
243,440.7484933708317,424.1245480112495
244,489.34322742474916,426.12959866220734
245,535.9821200510855,423.59812686249467
246,579.5266696548633,416.81712236665174
247,619.7641334569046,406.1816496756256
248,655.2609122118686,393.1991172143207
249,686.0397959183673,378.32142857142856
250,712.5018970189702,363.1512195121951
251,734.1437464629315,347.66836445953595
252,751.5407362703681,333.34158117079056
253,764.8915662650602,320.69562460367786
254,774.6764705882352,310.3034759358289
255,781.0743859649123,302.9656140350877
256,784.2246108228318,298.4432913269088
257,784.3919523099851,297.2600596125186
258,781.496328928047,299.5337738619677
259,775.5657894736842,304.8898891966759
260,766.348172757475,313.3109634551495
261,754.1403286978508,324.53729456384326
262,737.8176328502416,338.03743961352654
263,717.8165714285715,353.1474285714286
264,693.388306674021,369.0772200772201
265,665.0709476954945,384.81356809943037
266,632.0258706467662,399.4616915422886
267,595.1418234442837,412.064158224795
268,554.5094775774387,421.7679149329635
269,511.3938033228559,427.6506511001347
270,466.06655067420616,429.1265767725098
271,420.45936698032506,425.7733105218135
272,374.56570443774234,418.0331753554502
273,330.2509752925878,406.4833116601647
274,288.6120950323974,391.16803455723544
275,250.10711150131695,373.32791922739244
276,215.14634146341464,353.86962305986697
277,184.9188704616764,333.9345584939489
278,159.0494779845665,314.484339536995
279,138.11274735388864,296.242982052462
280,121.6152380952381,280.7890476190476
281,109.33087874324988,268.38389788905255
282,101.59426229508196,259.8094262295082
283,98.02493224932249,255.40271002710028
284,98.556330472103,255.1475321888412
285,103.5923502767992,259.66381479617513
286,112.86872037914692,268.11611374407585
287,127.00625838176128,280.6732230666071
288,146.1619503700479,296.9325206791467
289,170.10669456066947,315.39246861924687
290,199.2395134228188,335.43120805369125
291,233.4957264957265,356.3133903133903
292,272.2400635930048,376.1860095389507
293,313.6257119609439,393.659886086249
294,360.11603375527426,408.91181434599156
295,406.16800966962126,418.95366639806605
296,453.0415110004151,425.10917393109173
297,498.8773946360153,426.38654746700723
298,542.2806009721609,423.3309765797614
299,582.739916550765,416.42095503013445
300,619.5699183085055,406.13935607880825
301,651.9089989888777,393.55965621840244
302,679.7995678011886,379.7552674230146
303,703.5132693393563,365.24675324675326
304,723.0441621294616,351.1524500907441
305,738.4424778761062,338.1542351453856
306,750.2464929859719,326.62458249832997
307,758.5487977369165,317.5848656294201
308,763.7893950709484,311.1292008961912
309,765.93610469592,307.73749037721325
310,765.2031007751938,307.3201550387597
311,761.8319454958365,310.1226343679031
312,755.4604982206406,315.79430604982207
313,745.859565807327,324.4911804613297
314,733.1490602721971,335.5158781594297
315,716.7074074074075,348.8141975308642
316,696.4920541494997,363.11771630370805
317,673.0095238095238,377.83081232493
318,644.8469769930444,392.32477260567146
319,613.0969387755102,405.53061224489795
320,576.8907103825137,416.6850471932439
321,538.1080568720379,424.52701421800947
322,496.52504638218926,428.832560296846
323,453.29751332149203,428.7140319715808
324,409.62627607634266,424.1549045716822
325,367.09168925022584,415.79313459801267
326,322.61793721973095,402.8681614349776
327,284.5165733964701,387.1317262160999
328,248.0648024855748,369.2924988903684
329,214.91896627244853,349.66491458607095
330,186.35626643295356,330.1148115687993
331,162.393032603841,311.16480571683786
332,142.7665914221219,293.96072234762977
333,127.66912782648824,279.28426395939084
334,116.94487056567594,268.34036433365293
335,110.46084337349397,260.8714859437751
336,108.26351003602676,257.6675244467319
337,110.41453634085212,258.92080200501255
338,116.96754468485419,264.4887111947319
339,127.91644444444445,274.18755555555555
340,143.21345407503233,287.60112117291936
341,163.90359950351674,304.2887877534133
342,189.66680311092918,323.69218174375766
343,219.96465863453815,343.7678714859438
344,255.10999598554798,364.2067442794059
345,293.51489028213166,382.9118338557994
346,335.25954198473283,399.0534351145038
347,379.444089456869,412.33306709265173
348,424.0404958677686,421.4136363636364
349,468.13634444913464,426.07851414098775
350,510.8670494699647,426.3829505300353
351,551.3325613710051,422.66882816118573
352,588.5313121272366,415.1351888667992
353,621.5516883116883,404.84623376623375
354,650.7392739273928,392.8124312431243
355,675.6335656213705,379.49767711962835
356,696.3622828784119,366.0998759305211
357,713.3621025308241,353.07592472420504
358,726.7708764665286,341.2015182884748
359,736.6833333333333,331.14130434782606
360,743.207987942728,323.4415975885456
361,747.1761409127301,318.2097678142514
362,748.269918699187,315.91219512195124
363,746.6440816326531,316.52244897959184
364,742.3563579277865,319.98194662480375
365,735.2322628827483,326.252427184466
366,725.2240515390122,335.32856120257696
367,711.9259510869565,346.4463315217391
368,695.2544529262086,359.15458015267177
369,675.2110705596107,372.87165450121654
370,651.4762456546929,386.553302433372
371,624.0027670171555,399.8317653569452
372,592.507684154743,411.42448330683624
373,557.4092508798391,420.982905982906
374,519.7078109932497,427.1195756991321
375,479.512832263978,429.4518790100825
376,438.3459652251449,427.58314757021844
377,396.8842014636246,421.5665088247955
378,355.78515283842796,411.81528384279477
379,315.0727728983689,397.84901714763697
380,278.6051537822111,381.8262676641729
381,244.70548806032676,363.6179304566401
382,213.99662731871837,344.24030354131537
383,187.7861369399831,325.2523245984784
384,165.7,307.0459227467811
385,148.17303469477383,290.84145805884935
386,134.85111211983659,277.83567862006356
387,126.15023474178403,268.0572769953052
388,121.37101593625498,262.4497011952191
389,120.98415841584159,260.81188118811883
390,124.85399712781235,263.73192915270465
391,133.07564160288157,270.882935614588
392,145.96091065292097,281.9656357388316
393,163.3049732840115,296.77188655980274
394,185.73078454798886,314.2011150935882
395,212.98496835443038,333.44224683544303
396,244.05305964368708,353.1084430673896
397,279.7799847211612,372.7486631016043
398,317.3453733766234,389.91314935064935
399,360.00360144057623,405.6010404161665
400,402.0411954765751,416.73101777059776
401,444.5108514190317,423.8568447412354
402,485.87020905923345,426.61672473867594
403,525.5230560578661,425.65370705244123
404,562.0589656839053,420.70275495408407
405,595.5227272727273,412.53434343434344
406,625.3058120586637,401.95763172189027
407,651.0395480225989,389.91525423728814
408,672.4549819927971,377.31032412965186
409,690.5510597302505,364.9332048811818
410,704.9239569313594,353.01615074024227
411,715.9215406562054,342.6262482168331
412,724.0243346007604,333.9665399239544
413,729.0387045813586,327.63270142180096
414,731.4346378018319,323.7601998334721
415,731.3130217028381,322.80801335559266
416,728.65522875817,324.5106209150327
417,723.4481132075472,329.1580188679245
418,715.430293896006,336.0828937452901
419,704.6231263383297,345.33547466095644
420,690.664464993395,356.59841479524437
421,673.6645649432535,368.77994955863807
422,653.1215638362859,381.6976175931582
423,629.0452203777905,394.6227819118489
424,601.4600110314396,406.54605626034197
425,570.4771784232365,416.60684647302907
426,536.3022113022113,424.10712530712533
427,499.882657869934,428.2450518378888
428,461.258166969147,428.59936479128856
429,421.96896853146853,424.96765734265733
430,382.75934679845295,417.3149978513107
431,343.70038412291933,406.108408023901
432,306.3385132297354,391.5048299034019
433,272.0282208588957,374.7051124744376
434,240.58190912880366,356.02751146310965
435,212.9531314807134,337.14890087100787
436,189.34495959166313,318.99702254359846
437,170.06603366422098,302.4005179110919
438,154.72023019034972,287.75564409030545
439,143.90344514959202,276.3241160471442
440,136.97133301481128,268.57477305303394
441,134.63940886699507,264.80541871921184
442,136.2437591776799,265.2515907978463
443,142.628663003663,270.30998168498166
444,152.92560175054706,279.2800875273523
445,167.94217970049917,291.96339434276206
446,187.51056910569105,307.7174796747967
447,211.72622820919176,325.83082408874805
448,240.25521858999605,345.2016541945648
449,272.98597038191735,364.742790335152
450,308.6168113654301,382.2975532754538
451,347.1446117274168,398.67115689381933
452,386.95604395604397,411.64468864468864
453,427.6662556514591,420.68927250308263
454,467.012936610608,425.7291936179388
455,505.75731652408825,426.70733903647005
456,541.314096499527,423.90823084200565
457,574.4365199797674,417.7617602427921
458,604.0614732379438,408.88182299947005
459,629.7993311036789,398.3723522853958
460,651.7351351351351,386.73813813813814
461,670.257394587791,374.85588420390184
462,685.2938388625593,363.2931618144888
463,697.1459802538787,352.5535966149506
464,705.8064275037369,343.7167414050822
465,712.034727703236,336.5130228887135
466,715.4371900826446,331.78595041322313
467,716.3268744734626,329.5534962089301
468,714.8148774302621,329.8799661876585
469,710.9353274050121,332.95068714632174
470,704.5368916797488,338.403453689168
471,695.5656639765224,346.2325752017608
472,683.8732294617564,356.0297450424929
473,669.2157123834887,367.0772303595206
474,651.4213166144201,379.0194357366771
475,630.4573278399058,391.30135373749266
476,606.0293122886133,403.0315670800451
477,578.178804347826,413.50652173913045
478,547.3988529718457,421.6970802919708
479,514.0019811788014,427.05943536404163
480,478.24524714828897,429.00807984790873
481,441.640127388535,427.23475887170156
482,403.9669642857143,421.3205357142857
483,367.64660633484164,412.2402714932127
484,329.93498049414825,399.1573472041612
485,296.25626043405674,383.9136060100167
486,264.63393990689804,366.5577655522641
487,236.22366764582458,348.11456147712966
488,211.5279317697228,329.68486140724946
489,190.9695931477516,312.4522483940043
490,174.4852227613586,297.06484340538157
491,162.0129579982127,283.93029490616624
492,154.25476522547652,274.6317991631799
493,150.40290556900726,268.84697336561743
