"t (s)","Illuminance (lx)"
4.619380236E-1,0.000000000E0
6.953340769E-1,5.000000000E0
1.312317014E0,0.000000000E0
1.545807004E0,5.000000000E0
2.296114087E0,0.000000000E0
2.529524088E0,5.000000000E0
3.129654050E0,0.000000000E0
3.362890005E0,5.000000000E0
4.096994042E0,0.000000000E0
4.330004096E0,5.000000000E0
4.963615060E0,0.000000000E0
5.198812008E0,5.000000000E0
5.931726098E0,0.000000000E0
6.164754033E0,5.000000000E0
6.765242100E0,0.000000000E0
6.997992039E0,5.000000000E0
7.732686996E0,0.000000000E0
7.965644002E0,5.000000000E0
8.566660047E0,0.000000000E0
8.799270034E0,5.000000000E0
9.533350110E0,0.000000000E0
9.766462088E0,5.000000000E0
1.036708510E1,0.000000000E0
1.060018909E1,5.000000000E0
1.133371103E1,0.000000000E0
1.156702209E1,5.000000000E0
1.216760004E1,0.000000000E0
1.243395805E1,5.000000000E0
1.313522911E1,0.000000000E0
1.340168810E1,5.000000000E0
1.396829510E1,0.000000000E0
1.420144808E1,5.000000000E0
1.496944809E1,0.000000000E0
1.520239103E1,5.000000000E0
1.580191100E1,0.000000000E0
1.604069507E1,5.000000000E0
1.676998508E1,0.000000000E0
1.700344002E1,5.000000000E0
1.760394406E1,0.000000000E0
1.783795011E1,5.000000000E0
1.855574203E1,0.000000000E0
1.885656404E1,5.000000000E0
1.938802409E1,0.000000000E0
1.965467906E1,5.000000000E0
2.038863301E1,0.000000000E0
2.062160301E1,5.000000000E0
2.122229707E1,0.000000000E0
2.145539308E1,5.000000000E0
2.218963206E1,0.000000000E0
2.242247105E1,5.000000000E0
2.302294910E1,0.000000000E0
2.325647700E1,5.000000000E0
2.399020302E1,0.000000000E0
2.435705900E1,5.000000000E0
2.478999901E1,0.000000000E0
2.505721009E1,5.000000000E0
2.577403402E1,0.000000000E0
2.604107106E1,5.000000000E0
2.664227200E1,0.000000000E0
2.687420404E1,5.000000000E0
2.760887003E1,0.000000000E0
2.787522709E1,5.000000000E0
2.844192708E1,0.000000000E0
2.867529404E1,5.000000000E0
2.940966010E1,0.000000000E0
2.967574203E1,5.000000000E0
3.024290001E1,0.000000000E0
3.047593510E1,5.000000000E0
3.121011305E1,0.000000000E0
3.147802103E1,5.000000000E0
3.204772902E1,0.000000000E0
3.234591305E1,5.000000000E0
3.301122510E1,0.000000000E0
3.337992108E1,5.000000000E0
3.382847404E1,0.000000000E0
3.407830310E1,5.000000000E0
3.481173801E1,0.000000000E0
3.516171801E1,5.000000000E0
3.564549601E1,0.000000000E0
3.589576709E1,5.000000000E0
3.661240304E1,0.000000000E0
3.697879803E1,5.000000000E0
3.744636106E1,0.000000000E0
3.769560003E1,5.000000000E0
3.841396809E1,0.000000000E0
3.876380706E1,5.000000000E0
3.924757004E1,0.000000000E0
3.951402199E1,5.000000000E0
4.023115206E1,0.000000000E0
4.059769905E1,5.000000000E0
4.106461000E1,0.000000000E0
4.131414211E1,5.000000000E0
4.203235304E1,0.000000000E0
4.239902103E1,5.000000000E0
4.286550510E1,0.000000000E0
4.311591899E1,5.000000000E0